id	ne	type	url	dpb	solr_pos	cand_pos	solr_score	cand_score	solr_inlinks	cand_inlinks	quotes	lang	main_title_exact_match	main_title_start_match	main_title_end_match	main_title_match	title_exact_match_fraction	title_start_match_fraction	title_end_match_fraction	title_match_fraction	title_exact_match_rel_fraction	title_start_match_rel_fraction	title_end_match_rel_fraction	title_match_rel_fraction	last_part_match_fraction	last_part_match_rel_fraction	mean_levenshtein_ratio	name_conflict	date_match	type_match	role_match	subject_match	entity_match	spec_match	label
0	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Beorn_Nijenhuis	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0.00000	0.00000	0.00000	0	0	0	0	1.00000	0	0	0	-1	0	0	0	0	0	0
1	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Johan_Nijenhuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	1	0	0	0	0	0	0	0
2	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Rutger_Jan_Schimmelpenninck_van_Nijenhuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	1	0	0	0	0	0	0	0
3	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Nijenhuis_(Diepenheim)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
4	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Nijenhuis_(Olst-Wijhe)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
5	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Nienke_Nijenhuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	1	0	0	0	0	0	0	0
6	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Arnold_Adolf_Bentinck_van_Nijenhuis	0.35000	0.05000	1.00000	1.00000	0.03478	0.26667	0	1	0	0	0	0	0	0	0	0	0.00000	0.00000	0.00000	0.00000	1.00000	0.08333	0.47826	0	0	1	-1	-1	0	0	0
7	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Johannes_Bodel_Nijenhuis	0.40000	0.10000	1.00000	1.00000	0.03188	0.24444	0	1	0	0	0	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.16667	0.68095	0	0	1	0	0	0	0	0
8	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Gerard_Nijenhuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	1	0	0	0	0	0	0	0
9	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Gerhard_Nijenhuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	1	0	0	0	0	0	0	0
10	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Volkier_Marius_François_Bentinck_tot_Nijenhuis	0.55000	0.15000	1.00000	1.00000	0.02609	0.20000	0	1	0	0	0	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.33333	0.36759	0	0	0	-2	-1	0	0	0
11	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Rudolph_Anne_van_Hoëvell_tot_Nijenhuis	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0.00000	0	0	1	0	0	0	0	0	0	0
12	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Adolf_Carel_Bentinck_van_Nijenhuis	0.65000	0.20000	1.00000	1.00000	0.01739	0.13333	0	1	0	0	0	0	0	0	0	0	0.00000	0.00000	0.00000	0.00000	1.00000	0.08333	0.48889	0	0	1	-1	-1	0	0	0
13	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Bé_Nijenhuis	0.70000	0.25000	1.00000	1.00000	0.01739	0.13333	0	1	0	0	0	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.25000	0.90929	0	0	0	1	1	0	0	1
14	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Hans_Nijenhuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	1	0	0	0	0	0	0	0
15	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Jan_Nijenhuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	1	0	0	0	0	0	0	0
16	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Miranda_Nijenhuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	1	0	0	0	0	0	0	0
17	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Albert_Nijenhuis	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0.00000	0	0	1	0	0	0	0	0	0	0
18	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Bert_Nijenhuis	0.95000	0.30000	1.00000	1.00000	0.00290	0.02222	0	1	0	0	0	0	0	0	0	0	0.00000	0.00000	0.00000	0.00000	1.00000	0.08333	0.88000	0	0	1	-1	1	0	0	0
19	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://dbpedia.org/resource/Beorn_Nijenhuis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00000	0	0	0	-1	0	0	0	0	0	0
20	Geb	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Geb_(mythologie)	0.05000	0.05000	1.00000	1.00000	0.08367	0.24419	0	1	1	0	0	0	0.50000	0.25000	0.00000	0.00000	0.20000	0.10000	0.00000	0.00000	0.00000	0.00000	0.70667	0	0	0	0	0	0	0	0
