id	ne	type	url	dpb	solr_iteration	solr_pos	cand_pos	solr_score	cand_score	solr_inlinks	cand_inlinks	quotes	lang	disambig	main_title_exact_match	main_title_start_match	main_title_end_match	main_title_match	title_exact_match_fraction	title_start_match_fraction	title_end_match_fraction	title_match_fraction	last_part_match_fraction	mean_levenshtein_ratio	name_conflict	date_match	type_match	role_match	subject_match	entity_match	spec_match	cat_match	label
0	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Arnold_Adolf_Bentinck_van_Nijenhuis	0	0.35000	0.05000	1.00000	1.00000	0.03478	0.17391	0	1	1	0	0	0	0	0	0	0	0	1.00000	0.47826	0	0	1	-1	-1	0	0	0	0
1	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Johannes_Bodel_Nijenhuis	0	0.40000	0.10000	1.00000	1.00000	0.03188	0.15942	0	1	1	0	0	0	0	0.00000	0.00000	0.00000	0.00000	1.00000	0.68095	0	1	1	0	0	0	0	1	0
2	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Volkier_Marius_François_Bentinck_tot_Nijenhuis	0	0.55000	0.15000	1.00000	1.00000	0.02609	0.13043	0	1	1	0	0	0	0	0.00000	0.00000	0.00000	0.00000	1.00000	0.36759	0	0	0	-1	-1	0	0	0	0
3	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Adolf_Carel_Bentinck_van_Nijenhuis	0	0.65000	0.20000	1.00000	1.00000	0.01739	0.08696	0	1	1	0	0	0	0	0	0	0	0	1.00000	0.48889	0	1	1	-1	-1	0	0	0	0
4	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Bé_Nijenhuis	0	0.70000	0.25000	1.00000	1.00000	0.01739	0.08696	0	1	1	0	0	0	0	0.00000	0.00000	0.00000	0.00000	1.00000	0.90929	0	2	1	1	2	0	0	1	1
5	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Bert_Nijenhuis	0	0.95000	0.30000	1.00000	1.00000	0.00290	0.01449	0	1	1	0	0	0	0	0	0	0	0	1.00000	0.88000	0	0	1	-1	1	0	0	0	0
6	B. Nijenhuis	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://dbpedia.org/resource/Beorn_Nijenhuis	0	1.00000	0.35000	1.00000	1.00000	0.06957	0.34783	0	0	1	0	0	0	0	0	0	0	0	1.00000	0.84615	0	0	1	0	0	0	0	0	0
7	Geb	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://nl.dbpedia.org/resource/Geb_(mythologie)	0	0.05000	0.05000	1.00000	1.00000	0.08367	0.24419	0	1	0	1	0	0	0	0.00000	0.50000	0.00000	0.00000	0.00000	0.53810	0	0	0	0	0	0	0	0	0
8	Geb	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://dbpedia.org/resource/Geb	0	0.25000	0.10000	0.76682	0.76682	0.23904	0.69767	0	0	1	1	0	0	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.70000	0	0	0	0	0	0	0	0	0
9	Geb	person	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	http://dbpedia.org/resource/Kire_language	0	0.35000	0.15000	0.07773	0.07773	0.01992	0.05814	0	0	1	0	0	0	0	0.00000	0.00000	0.50000	0.00000	0.00000	0.32051	0	0	0	0	0	0	0	0	0
