inst_id	cand_id	url	ne	type	link	pref_label_exact_match	pref_label_end_match	pref_label_match	alt_label_exact_match	alt_label_end_match	alt_label_match	last_part_match	levenshtein_ratio	name_conflict	date_match	solr_iteration	solr_position	solr_score	inlinks	lang	ambig	quotes	type_match	role_match	spec_match	keyword_match	subject_match	entity_match	label
0	0	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	B. Nijenhuis	person	http://nl.dbpedia.org/resource/Arnold_Adolf_Bentinck_van_Nijenhuis	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.478	0.000	0.000	0.000	0.050	1.000	0.308	1.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0
0	1	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	B. Nijenhuis	person	http://nl.dbpedia.org/resource/Johannes_Bodel_Nijenhuis	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.621	0.000	0.500	0.000	0.100	1.000	0.282	1.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0
0	2	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	B. Nijenhuis	person	http://nl.dbpedia.org/resource/Adolf_Carel_Bentinck_van_Nijenhuis	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.460	0.000	0.500	0.000	0.150	1.000	0.179	1.000	0.000	0.000	0.333	0.000	0.000	0.762	0.000	0.762	0
0	3	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	B. Nijenhuis	person	http://nl.dbpedia.org/resource/Bé_Nijenhuis	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.886	0.000	1.000	0.000	0.200	1.000	0.154	1.000	0.000	0.000	0.333	0.000	0.000	0.999	0.964	0.000	1
0	4	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	B. Nijenhuis	person	http://nl.dbpedia.org/resource/Bert_Nijenhuis	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.880	0.000	0.500	0.000	0.250	1.000	0.077	1.000	0.000	0.000	0.333	0.000	0.000	0.000	0.762	0.000	0
1	5	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	Geb	person	http://nl.dbpedia.org/resource/Geb_(mythologie)	1.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.050	1.000	1.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
2	6	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	J. H. Kok	person	http://nl.dbpedia.org/resource/Gerrit_Jan_Kok	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.476	0.000	0.500	0.000	0.050	1.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
4	7	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	Nijenhuis	person	http://nl.dbpedia.org/resource/Arnold_Adolf_Bentinck_van_Nijenhuis	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.478	0.000	0.000	0.000	0.050	1.000	0.308	1.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0
4	8	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	Nijenhuis	person	http://nl.dbpedia.org/resource/Johannes_Bodel_Nijenhuis	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.621	0.000	0.500	0.000	0.100	1.000	0.282	1.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0
4	9	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	Nijenhuis	person	http://nl.dbpedia.org/resource/Adolf_Carel_Bentinck_van_Nijenhuis	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.460	0.000	0.500	0.000	0.150	1.000	0.179	1.000	0.000	0.000	0.333	0.000	0.000	0.762	0.000	0.762	0
4	10	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	Nijenhuis	person	http://nl.dbpedia.org/resource/Bé_Nijenhuis	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.886	0.000	1.000	0.000	0.200	1.000	0.154	1.000	0.000	0.000	0.333	0.000	0.000	0.999	0.964	0.000	0
4	11	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	Nijenhuis	person	http://nl.dbpedia.org/resource/Bert_Nijenhuis	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.880	0.000	0.500	0.000	0.250	1.000	0.077	1.000	0.000	0.000	0.333	0.000	0.000	0.000	0.762	0.000	0
5	12	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	Noord-Brabant	location	http://nl.dbpedia.org/resource/Noord-Brabant	1.000	0.000	0.000	0.000	0.167	0.000	0.429	0.853	0.000	0.000	0.000	0.050	1.000	0.982	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1
5	13	http://resolver.kb.nl/resolve?urn=ddd:010616555:mpeg21:a0126:ocr	Noord-Brabant	location	http://nl.dbpedia.org/resource/Lijst_van_veldkapellen_in_Noord-Brabant	0.000	1.000	0.000	0.000	0.000	0.000	0.032	0.212	0.000	0.000	0.000	0.100	0.321	0.007	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0
